2016-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 341.8
2016-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 375.3
2016-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.1
2017-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 394.7
2017-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 319.7
2017-03-01 12:00:00 7.8% exptime_sum = 23.2, observe_time_sum = 298.8
2017-04-01 12:00:00 3.5% exptime_sum = 8.0, observe_time_sum = 226.0
2017-05-01 12:00:00 10.8% exptime_sum = 18.0, observe_time_sum = 167.1
2017-06-01 12:00:00 12.1% exptime_sum = 14.9, observe_time_sum = 123.4
2017-07-01 12:00:00 11.9% exptime_sum = 18.2, observe_time_sum = 152.9
2017-08-01 12:00:00 19.2% exptime_sum = 41.6, observe_time_sum = 217.1
2017-09-01 12:00:00 8.5% exptime_sum = 23.3, observe_time_sum = 273.7
2017-10-01 12:00:00 7.0% exptime_sum = 24.0, observe_time_sum = 341.4
2017-11-01 12:00:00 2.0% exptime_sum = 7.5, observe_time_sum = 375.0
2017-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.0
2018-01-01 12:00:00 1.5% exptime_sum = 5.9, observe_time_sum = 395.0
2018-02-01 12:00:00 9.1% exptime_sum = 29.1, observe_time_sum = 320.1
2018-03-01 12:00:00 9.5% exptime_sum = 28.6, observe_time_sum = 299.3
2018-04-01 12:00:00 26.2% exptime_sum = 59.2, observe_time_sum = 226.5
2018-05-01 12:00:00 10.9% exptime_sum = 18.3, observe_time_sum = 167.6
2018-06-01 12:00:00 7.1% exptime_sum = 8.7, observe_time_sum = 123.4
2018-07-01 12:00:00 22.0% exptime_sum = 33.6, observe_time_sum = 152.5
2018-08-01 12:00:00 24.7% exptime_sum = 53.6, observe_time_sum = 216.6
2018-09-01 12:00:00 9.4% exptime_sum = 25.6, observe_time_sum = 273.2
2018-10-01 12:00:00 23.6% exptime_sum = 80.5, observe_time_sum = 340.9
2018-11-01 12:00:00 12.5% exptime_sum = 46.9, observe_time_sum = 374.7
2018-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.0
2019-01-01 12:00:00 9.1% exptime_sum = 35.8, observe_time_sum = 395.2
